Gene Name,Common-Name,Accession-1
G6818,ydfK,b1544
EG10748,mrcA,b3396
G0-8891,yciY,b4595
EG12194,cbpM,b0999
G7950,rsmC,b4371
G0-10629,ibsE,b4666
EG11176,garR,b3125
G7075,yoeA_1,b1995
G6637,lapA,b1279
G6698,ynaE,b1375
EG12410,nudK,b2467
G6559,mdtH,b1065
G6668,ynaJ,b1332
EG10444,hisA,b2024
G7845,rlmB,b4180
EG11004,ptrB,b1845
EG12297,envC,b3613
EG12691,lapB,b1280
G6696,tfaR,b1373
EG12168,brnQ,b0401
G0-10715,mntS,b4705
EG11911,pflC,b3952
G7031,uspC,b1895
G7843,queG,b4166
EG11175,garK,b3124
EG11460,narQ,b2469
G7062,yodB,b1974
EG11569,lptD,b0054
G6695,stfR,b1372
EG12387,lhgO,b2660
EG10556,malG,b4032
G6641,ycjD,b1289
G7242,alaC,b2379
G7750,rtcA,b4475
EG10968,sppA,b1766
EG12111,nlpD,b2742
EG10855,lptE,b0641
G6694,lomR_2,b1371
EG10678,oppF,b1247
G0-10707,pmrR,b4703
EG11835,yihI,b3866
G7016,exoX,b1844
G7714,tusD,b3345
G0-10472,ghoT,b4559
G7051,yedR,b1963
EG11101,aes,b0476
G6692,lomR_1,b1369
G7341,yphE,b2547
EG12337,yaeI,b0164
G6552,opgC,b1047
G6633,yciU,b1248
G7184,alaA,b2290
G7713,tusC,b3344
EG10786,ptrA,b2821
EG11878,zapB,b3928
G6691,ynaA,b1368
EG12166,elyC,b0920
G0-10657,yshB,b4686
EG11682,ptsN,b3204
EG11877,uspD,b3923
G7712,tusB,b3343
EG11459,yifK,b3795
G7050,yodC,b1957
EG11075,xylB,b3564
G6689,ydaY,b1366
G7018,znuC,b1858
EG12290,yiaV,b3586
EG10555,malF,b4033
G6624,ymgE,b1195
G0-9281,alaB,
G7698,tsaC,b3282
EG10698,pepQ,b3847
EG11676,hslV,b3932
G7147,mepS,b2175
G6688,ynaK,b1365
EG10677,oppD,b1246
G0-10652,yohP,b4679
EG11238,ybhB,b0773
EG11246,uspE,b1333
G7641,rsmI,b3146
EG12429,tomB,b0461
EG11074,xylA,b3565
G7045,dsrB,b1952
G7073,ldtA,b1990
G6686,rzpR,b1362
G6951,ynjD,b1756
EG12248,yhjD,b3522
G6544,csgF,b1038
G6612,ymgG,b1172
EG11408,dadX,b1190
G7603,rlmG,b3084
EG10697,pepP,b2908
EG11529,ftsN,b3933
G6904,ldtE,b1678
G6685,ydaW,b1361
EG12153,narU,b1469
G0-10651,yrbN,b4685
EG10811,pyrI,b4244
EG11073,xthA,b1749
G7456,tcdA,b2812
EG11066,uxuA,b4322
EG11439,emrB,b2686
G7043,yedM,b1935
G6892,mepH,b1655
G6684,ydaV,b1360
G6800,lsrA,b1513
EG12240,mdtE,b3513
EG10548,lspA,b0027
G6579,ymfA,b1122
EG10107,avtA,b3572
G7452,queF,b2794
EG10696,pepN,b0932
EG11494,mltG,b1097
G6571,ldtC,b1113
G6683,ydaU,b1359
EG10676,oppC,b1245
G0-10649,yoaK,b4676
EG10384,glnB,b2553
EG11063,uvrC,b1913
G7449,truC,b2791
EG11817,umpG,b2744
EG11065,uxaB,b1521
G7036,yecH,b1906
G6422,ldtB,b0819
G6682,ydaT,b1358
G6778,ddpD,b1484
EG12224,yhiI,b3487
G6517,rutG,b1006
G6549,ymdA,b1044
EG10001,alr,b4053
G7431,queD,b2765
EG10695,pepD,b0237
EG11441,prlC,b3498
G6092,ispU,b0174
G6681,ydaS,b1357
EG12148,galP,b2943
G0-10648,yoaJ,b4675
EG10255,eco,b2209
EG10662,nth,b1633
G7422,truD,b2745
EG11055,uidA,b1617
EG11419,bcr,b2182
G7026,yecT,b1877
EG11253,ldtD,b0925
G6680,racR,b1356
G6777,ddpF,b1483
EG12104,yeiR,b2173
EG10541,livM,b3456
G6498,yccT,b0964
EG11275,ivbL,b3672
G7327,trmJ,b2532
EG10694,pepA,b4260
EG11376,ftsP,b3017
G6215,yaiP,b0363
G6679,ydaG,b1355
EG10675,oppB,b1244
G0-10647,ypdK,b4680
EG10170,cyaA,b3806
EG10651,nfo,b2159
G7325,iscS,b2530
EG11498,yhdJ,b3262
EG10971,srlD,b2705
G7019,yecN,b1869
EG11381,glgS,b3049
G6677,xisR,b1346
G6752,ydcT,b1441
EG12016,yohC,b2135
G6514,torS,b0993
G6473,ycbJ,b0919
EG11270,ilvL,b3766
G7297,tmcA,b2474
EG10212,dcp,b1538
EG11299,rng,b3247
EG10380,glgP,b3428
G6676,intR,b1345
EG12142,sdaC,b2796
G0-10645,ymjD,b4673
EG10028,pflA,b0902
G7947,yjjQ,b4365
G7199,mnmC,b2324
EG10818,rbsK,b3752
EG11405,cydD,b0887
G7010,yebW,b1837
EG10379,glgC,b3430
G6599,stfE,b1157
G6656,ycjV,b1318
EG11851,yihY,b3886
EG10538,livH,b3457
G6469,ycaP,b0906
EG10502,ilvN,b3670
G7008,rsmF,b1835
EG10159,clpX,b0438
EG11191,slmA,b3641
EG10378,glgB,b3432
G6598,tfaP,b1155
EG10674,oppA,b1243
G0-10643,yoeI,b4678
G7579,cpdA,b3032
G7758,yhhY,b3441
G6732,hrpA,b1413
EG10817,rbsD,b3748
G7009,yebV,b1836
EG10377,glgA,b3429
G6597,ymfQ,b1153
G6574,lolD,b1117
EG11776,ybfF,b0686
G6508,gfcA,b0987
G6424,ybiU,b0821
EG10501,ilvM,b3769
G6675,ttcA,b1344
EG10156,clpA,b0882
EG11086,ftsL,b0083
G6530,pgaB,b1023
G6596,jayE,b1152
EG12141,ydhC,b1660
G0-10593,ydgU,b4601
G6991,tsaB,b1807
G7587,yqiI,b3048
G6581,rluE,b1135
EG10700,pfkB,b1723
EG11393,dsbB,b1185
G7006,yebS,b1833
G6529,pgaC,b1022
G6595,beeE,b1151
G6429,gsiA,b0829
EG11764,yibH,b3597
EG10530,lepB,b2568
G6385,ybgO,b0716
EG10500,ilvI,b0077
