1;Abouhamad, W. N., M. Manson, M. M. Gibson, and C. F. Higgins;1991;. Peptide transport and chemotaxis in <i>Escherichia coli</i> and <i>Salmonella</i> <i>typhimurium:</i> characterization of the dipeptide permease <i>dpp</i> and the dipeptide-binding protein. ;Mol. Microbiol. 5:1035–1048.
1a;Ackerman, R. S., N. R. Cozzarelli, and W. Epstein;1974;. Accumulation of toxic concentrations of methylglyoxal by <i>Escherichia coli</i> K-12. ;J. Bacteriol. 119:357–362.
2;Adhya, S., P. Cleary, and A. Campbell;1968;. A deletion analysis of prophage lambda and adjacent genetic regions. ;Proc. Natl. Acad. Sci. USA 61:956–962.
3;Ahmad, S. I., and R. H. Pritchard;1969;. A map of four genes specifying enzymes involved in catabolism of nucleosides and deoxynucleosides in <i>Escherichia coli.</i> ;Mol. Gen. Genet. 104:351–359.
4;Ahmad, S. I., and R. H. Pritchard;1972;. Location of the gene specifying cytosine deaminase in <i>Escherichia coli.</i> ;Mol. Gen. Genet. 118:323–325.
5;Alaeddinoglu, N. C., and H. P. Charles;1979;. Transfer of a gene for sucrose utilization into <i>Escherichia coli</i> K12, and consequent failure of expression of genes for D-serine utilization. ;J. Gen. Microbiol. 110:47–59.
6;Alderman, E. M., S. S. Dills, T. Melton, and W. J. Dobrogosz;1979;. Cyclic AMP regulation of the bacteriophage T6 colicin K receptor in <i>Escherichia coli.</i> ;J. Bacteriol. 140:369–376.
7;Alexander, R. R., J. M. Calvo, and M. Freundllch;1971;. Mutants of <i>Salmonella typhimurium</i> with an altered leucyl-transfer ribonucleic acid synthetase. ;J. Bacteriol. 106:213–220.
8;Alper, M. D., and B. N. Ames;1975;. Cyclic 3′,5′-adenosine monophosphate phosphodiesterase mutants of <i>Salmonella typhimurium.</i> ;J. Bacteriol. 122:1081–1090.
9;Alper, M. D., and B. N. Ames;1975;. Positive selection of mutants with deletions of the <i>gal-chl</i> region of the <i>Salmonella</i> chromosome as a screening procedure for mutagens that cause deletions. ;J. Bacteriol. 121:259–266.
10;Alper, M. D., and B. N. Ames;1978;. Transport of antibiotics and metabolite analogs by systems under cyclic AMP control: positive selection of <i>Salmonella typhimurium cya</i> and <i>crp</i> mutants. ;J. Bacteriol. 133:149–157.
11;Amaral, D., and H. L. Kornberg;1975;. Regulation of fructose uptake by glucose in <i>Escherichia</i> <i>coli.</i> ;J. Gen. Microbiol. 90:157–168.
12;Ames, G. F.-L;1964;. Uptake of amino acids by <i>Salmonella typhimurium.</i> ;Arch. Biochem. Biophys. 104:1–18.
13;Ames, G. F.-L., D. P. Biek, and E. N. Spudich;1978;. Duplications of histidine transport genes in <i>Salmonella typhimurium</i> and their use for the selection of deletion mutants. ;J. Bacteriol. 136:1094– 1108.
14;Ames, G. F.-L., and J. Lever;1970;. Components of histidine transport: histidine-binding proteins and <i>hisP</i> protein. ;Proc. Natl. Acad. Sci. USA 66:1096–1103.
15;Ames, G. F.-L., K. D. Noel, H. Tabor, E. N. Spudich, K. Nikaido, J. Afong, and F. Ardeshir;1977;. Fine-structure map of the histidine transport genes in <i>Salmonella typhimurium.</i> ;J. Bacteriol. 129:1289–1297.
16;Ammer, J., M. Brennenstuhl, P. Schindler, J.-V. Holtje, and H. Zahner;1979;. Phosphorylation of streptozotocin during uptake via the phosphoenolpyruvate:sugar phosphotransferase system in <i>Escherichia coli.</i> ;Antimicrob. Agents Chemother. 16:801–807.
17;Anderson, J. J., and D. L. Oxender;1977;. <i>Escherichia coli</i> transport mutants lacking binding protein and other components of the branched-chain amino acid transport systems. ;J. Bacteriol. 130:384–392.
18;Anderson, J. J., S. C. Quay, and D. L. Oxender;1976;. Mapping of two loci affecting the regulation of branched-chain amino acid transport in <i>Escherichia coli</i> K-12. ;J. Bacteriol. 126:80–90.
19;Anderson, J. J., J. M. Wilson, and D. L. Oxender;1979;. Defective transport and other phenotypes of a periplasmic “leaky”  mutant of <i>Escherichia coli</i> K-12. ;J. Bacteriol. 140:351–358.
20;Anderson, R. P., and J. R. Roth;1977;. Tandem genetic duplications in phage and bacteria. ;Annu. Rev. Microbiol. 31:473–505.
21;Anderson, R. P., and J. R. Roth;1978;. Tandem genetic duplications in <i>Salmonella typhimurium:</i> amplification of the histidine operon. ;J. Mol. Biol. 126:53–71.
22;Andrews, J. C., and S. A. Short;1985;. Genetic analysis of <i>Escherichia coli</i> oligopeptide transport mutants. ;J. Bacteriol. 161:484–492.
23;Anton, D;1968;. Histidine regulatory mutants in <i>Salmonella typhimurium.</i> V. Two new classes of histidine regulatory mutants. ;J. Mol. Biol. 33:533–546.
24;Anton, D. N;1981;. <i>envB</i> mutations confer UV sensitivity to <i>Salmonella typhimurium</i> and UV resistance to <i>Escherichia coli.</i> ;Mol. Gen. Genet. 181:150–152.
25;Aono, R., M. Yamasaki, and G. Tamura;1979;. High and selective resistance to mecillinam in adenylate cyclase-deficient or cyclic adenosine 3′,5′-monophosphate receptor protein-deficient mutants of <i>Escherichia coli.</i> ;J. Bacteriol. 137:839–845.
