Selections giving rise to mutants of <i>E. coli</i> and <i>S. typhimurium</i>
Type;Selection purpose and technique;Mutant gene
Expansion of metabolic capacity
Acetate + gluconate as C source in <i>ppc</i>;<i>gntR</i>
Acetate + gluconate as C source in <i>ppc</i>;<i>gntS</i>
Acetyl(<i>N</i>)histidine + ornithine satisfaction of <i>his</i>;<i>argB</i>
Acetyl(<i>N</i>)histidine + ornithine satisfaction of <i>his</i>;<i>argC</i>
Acetyl(<i>N</i>)histidine + ornithine satisfaction of <i>his</i>;<i>argE</i>
Acetyl(<i>N</i>)histidine + ornithine satisfaction of <i>his</i>;<i>argH</i>
Acetylhistidine satisfaction of <i>his</i>;<i>argR</i>
Acetyl(<i>N</i>)lactonate as sole N source ;<i>lacI,</i> operator
Acetylmethionine satisfaction of <i>met</i>;<i>argR</i>
Acetylornithine + uracil satisfaction of <i>car</i> (<i>pyrA</i>);<i>argA</i>
Acetylornithine + uracil satisfaction of <i>car</i> (<i>pyrA</i>);<i>argB</i>
Acetylornithine + uracil satisfaction of <i>car</i> (<i>pyrA</i>);<i>argC</i>
Acetylornithine + uracil satisfaction of <i>car</i> (<i>pyrA</i>);<i>argD</i>
Adenosine as C source in <i>upp deoD</i>;<i>xapR</i>
Aminobutyrate as N source;<i>gabC</i>
Arabinitol (D) resistance;<i>mtlA</i>
Arabinose (L) as C source in <i>cya</i> or <i>crp</i>;<i>rpoD</i>
Arabinose (L) as C source in presence of <i>lac</i> operon inducer;<i>lacY</i>
Arabinose (D) as C source;<i>fucA</i>
Arabitol as C source;<i>gatACD</i>
Arabitol (D) as C source in <i>fuc</i>;<i>dgd</i>
Arbutin as a C source;<i>bglBC</i>
Arbutin as C source);<i>osmZ</i> (<i>bglY)</i>
Arginine as N source;<i>hisP</i>
Arginine-independent growth of <i>pyrH</i> in presence of uracil;<i>pyrB</i>
Arginine-independent growth of <i>pyrH</i> in presence of uracil;<i>pyrC</i>
Arginine-independent growth of <i>pyrH</i> in presence of uracil;<i>pyrD</i>
Arginine-resistant, proline-independent growth of ∆<i>pro</i>;<i>argR</i>
β-Glycerol-phosphate as C source in presence of high phosphate;<i>phoA</i>
β-Glycerol-phosphate as C source in presence of high phosphate;<i>phoR</i>
β-Glycerol-phosphate as C source in presence of high phosphate;<i>phoS</i>
β-Glycerol-phosphate as C source in presence of high phosphate;<i>phoT</i>
Biotin sulfoxide utilization in <i>chl bio</i>;<i>chlE</i>
Branched-chain amino acid satisfaction of ∆<i>ilvDC hisT</i>;<i>ilvA</i>
Butyrate as C source in <i>fadR</i>(Con);<i>atoC</i>
Butyrate or valerate as better C source;<i>iclR</i>
Cellobiose as C source;<i>celABCDF</i>
Chemostat growth improved;<i>mut</i>
Citrate as C source;<i>cit</i>
Citrate as C source in presence of low cAMP;<i>cpd</i>
D-Amino acid satisfaction of amino acid auxotrophy;<i>dadA</i>
DAP-independent growth of ∆(<i>mal-asd</i>) in the presence of serine, methionine,and glycine D-Histidine + glycylglutamine satisfaction of <i>his</i> auxotrophs;<i>glnA</i>
Decanoate as C source;<i>fadR</i>
Deoxyadenosine (low) satisfaction of purine requirement;<i>add</i>
Deoxyadenosine + hypoxanthine satisfaction of purine requirement;<i>add</i>
Diamino (2,6)purine satisfaction of purine auxotrophy;<i>deoR</i>
Erythromycin growth dependence;<i>mac</i>
Ethanol as C source;<i>adh</i>
Ethyleneglycol as C source in propanediol utilizer;<i>fucA</i>
Fructose as C source in <i>ptsF</i> or <i>ptsM</i>;<i>srlD</i>
Fructose 1-phosphate as C source;<i>uhpR</i>
Fucose (L) as C source in propanediol utilizer;<i>fucA</i>
Fucose + arabinose-supported growth in <i>galP</i>;<i>mglA</i>
Fucose + arabinose-supported growth in <i>galP</i>;<i>mglB</i>
Fucose + arabinose-supported growth in <i>galP</i>;<i>mglC</i>
Galactose as C source for <i>gal</i> (leader)::IS;<i>rho</i>
Galacturonide as C source;<i>uidA</i>
Galacturonide as C source;<i>uidR</i>
Glucanate as C source in <i>eda</i>;<i>edd</i>
Glucosamine as C source;<i>ptsG</i>
Glucosamine 6-phosphate as C source;<i>uhpR</i>
Glucosamine as anaerobic C source in <i>ptsG</i>;<i>dgsA</i>
Glucose 1-phosphate as C source;<i>uhpR</i>
Glucose as C source in ∆<i>ptsHI</i>;<i>galC</i>
Glucose as C source in <i>ppc</i>;<i>iclR</i>
Glucose as C source in ∆<i>ptsHI</i>;<i>galR</i>
Glucosides (β) as C source;<i>gyrA</i> (<i>hisU</i>)
Glucosides (β) as C source;<i>gyrB</i> (<i>hisW)</i>
Glutamate as C source;<i>gadS</i>
