Selections giving rise to mutants of <em>E. coli</em> and <em>S. typhimurium</em>
Type;Selection purpose and technique;Mutant gene
Expansion of metabolic capacity;Acetate + gluconate as C source in <em>ppc</em>;gntR
Expansion of metabolic capacity;Acetate + gluconate as C source in <em>ppc</em>;gntS
Expansion of metabolic capacity;Acetyl(<em>N</em>)histidine + ornithine satisfaction of <em>his</em>;argB
Expansion of metabolic capacity;Acetyl(<em>N</em>)histidine + ornithine satisfaction of <em>his</em>;argC
Expansion of metabolic capacity;Acetyl(<em>N</em>)histidine + ornithine satisfaction of <em>his</em>;argE
Expansion of metabolic capacity;Acetyl(<em>N</em>)histidine + ornithine satisfaction of <em>his</em>;argH
Expansion of metabolic capacity;Acetylhistidine satisfaction of <em>his</em>;argR
Expansion of metabolic capacity;Acetyl(<em>N</em>)lactonate as sole N source ;lacI, operator
Expansion of metabolic capacity;Acetylmethionine satisfaction of <em>met</em>;argR
Expansion of metabolic capacity;Acetylornithine + uracil satisfaction of <em>car</em> (<em>pyrA</em>);argA
Expansion of metabolic capacity;Acetylornithine + uracil satisfaction of <em>car</em> (<em>pyrA</em>);argB
Expansion of metabolic capacity;Acetylornithine + uracil satisfaction of <em>car</em> (<em>pyrA</em>);argC
Expansion of metabolic capacity;Acetylornithine + uracil satisfaction of <em>car</em> (<em>pyrA</em>);argD
Expansion of metabolic capacity;Adenosine as C source in <em>upp deoD</em>;xapR
Expansion of metabolic capacity;Aminobutyrate as N source;gabC
Expansion of metabolic capacity;Arabinitol (D) resistance;mtlA
Expansion of metabolic capacity;Arabinose (L) as C source in <em>cya</em> or <em>crp</em>;rpoD
Expansion of metabolic capacity;Arabinose (L) as C source in presence of <em>lac</em> operon inducer;lacY
Expansion of metabolic capacity;Arabinose (D) as C source;fucA
Expansion of metabolic capacity;Arabitol as C source;gatACD
Expansion of metabolic capacity;Arabitol (D) as C source in <em>fuc</em>;dgd
Expansion of metabolic capacity;Arbutin as a C source;bglBC
Expansion of metabolic capacity;Arbutin as C source);osmZ (bglY)
Expansion of metabolic capacity;Arginine as N source;hisP
Expansion of metabolic capacity;Arginine-independent growth of <em>pyrH</em> in presence of uracil;pyrB
Expansion of metabolic capacity;Arginine-independent growth of <em>pyrH</em> in presence of uracil;pyrC
Expansion of metabolic capacity;Arginine-independent growth of <em>pyrH</em> in presence of uracil;pyrD
Expansion of metabolic capacity;Arginine-resistant, proline-independent growth of ∆<em>pro</em>;argR
Expansion of metabolic capacity;β-Glycerol-phosphate as C source in presence of high phosphate;phoA
Expansion of metabolic capacity;β-Glycerol-phosphate as C source in presence of high phosphate;phoR
Expansion of metabolic capacity;β-Glycerol-phosphate as C source in presence of high phosphate;phoS
Expansion of metabolic capacity;β-Glycerol-phosphate as C source in presence of high phosphate;phoT
Expansion of metabolic capacity;Biotin sulfoxide utilization in <em>chl bio</em>;chlE
Expansion of metabolic capacity;Branched-chain amino acid satisfaction of ∆<em>ilvDC hisT</em>;ilvA
Expansion of metabolic capacity;Butyrate as C source in <em>fadR</em>(Con);atoC
Expansion of metabolic capacity;Butyrate or valerate as better C source;iclR
Expansion of metabolic capacity;Cellobiose as C source;celABCDF
Expansion of metabolic capacity;Chemostat growth improved;mut
Expansion of metabolic capacity;Citrate as C source;cit
Expansion of metabolic capacity;Citrate as C source in presence of low cAMP;cpd
Expansion of metabolic capacity;D-Amino acid satisfaction of amino acid auxotrophy;dadA
Expansion of metabolic capacity;DAP-independent growth of ∆(<em>mal-asd</em>) in the presence of serine, methionine,and glycine D-Histidine + glycylglutamine satisfaction of <em>his</em> auxotrophs;glnA
Expansion of metabolic capacity;Decanoate as C source;fadR
Expansion of metabolic capacity;Deoxyadenosine (low) satisfaction of purine requirement;add
Expansion of metabolic capacity;Deoxyadenosine + hypoxanthine satisfaction of purine requirement;add
Expansion of metabolic capacity;Diamino (2,6)purine satisfaction of purine auxotrophy;deoR
Expansion of metabolic capacity;Erythromycin growth dependence;mac
Expansion of metabolic capacity;Ethanol as C source;adh
Expansion of metabolic capacity;Ethyleneglycol as C source in propanediol utilizer;fucA
Expansion of metabolic capacity;Fructose as C source in <em>ptsF</em> or <em>ptsM</em>;srlD
Expansion of metabolic capacity;Fructose 1-phosphate as C source;uhpR
Expansion of metabolic capacity;Fucose (L) as C source in propanediol utilizer;fucA
Expansion of metabolic capacity;Fucose + arabinose-supported growth in <em>galP</em>;mglA
Expansion of metabolic capacity;Fucose + arabinose-supported growth in <em>galP</em>;mglB
Expansion of metabolic capacity;Fucose + arabinose-supported growth in <em>galP</em>;mglC
Expansion of metabolic capacity;Galactose as C source for <em>gal</em> (leader)::IS;rho
Expansion of metabolic capacity;Galacturonide as C source;uidA
Expansion of metabolic capacity;Galacturonide as C source;uidR
Expansion of metabolic capacity;Glucanate as C source in <em>eda</em>;edd
Expansion of metabolic capacity;Glucosamine as C source;ptsG
Expansion of metabolic capacity;Glucosamine 6-phosphate as C source;uhpR
