Genes for which selections exist in <i>E. coli</i> and <i>S. typhimurium</i>
Gene;Organism;Selection;References;Alteration
ackA;E, S;Fluoroacetate resistance;96, 281, 463, 797;L
ada;E;Nitrosoguanidine resistance;693
add;E;Deoxyadenosine + hypoxanthine satisfaction of <i>purB</i> requirement;370;L
add;S;Deoxyadenosine (low) satisfaction of <i>purA</i> requirement;326;L
adhCE;E;Chloracetaldehyde resistance;157
adhCE;E;Chlorethanol resistance;157
adhE;E;Allyl alcohol resistance;476;L
adh;E;Ethanol as C source;132;C
alaS;E;Thymineless death resistance in <i>thyA</i>;394;S
alaS;E;Mecillinam resistance (beta-lactam resistance);802;S
ampC;E;Ampicillin resistance;139, 570;D
ampC;E;Ampicillin resistance;210, 212, 362;C
amtAB;S;Aminotriazole resistance;828
apeA;E, S;<i>N</i>-Acetyl-L-phenylalanine-β-naphthyl ester hydrolysis;421, 516;L
apt;E;6-Methylpurine resistance;60;L
apt;E;Adenine resistance in <i>hpt gpt</i>;462
apt;E;2,6-Diaminopurine resistance in <i>pnp</i>;470;L
apt;E, S;2,6-Diaminopurine resistance;107, 390;L
araB;E;Ribitol resistance from <i>araC</i>(Con);396;L
araC;E;Fucose resistance (arabinose as C source);67;C
araC;E;Ribitol resistance from <i>araC</i>(Con);396;L
arcA;E;Male-specific phage resistance, also called <i>fexA</i>;110, 651, 711;L
argA;E;Acetylornithine + uracil satisfaction of <i>car</i> (<i>pyrA</i>);153;L
argB;E;<i>N</i>-Acetylhistidine + ornithine satisfaction of <i>his</i>;50;C
argB;E;Acetylornithine + uracil satisfaction of <i>car</i> (<i>pyrA</i>);153;L
argC;E;<i>N</i>-Acetylhistidine + ornithine satisfaction of <i>his</i>;50;C
argC;E;Acetylornithine + uracil satisfaction of <i>car</i> (<i>pyrA</i>);153;L
argD;E, S;Proline-independent growth of ∆<i>proAB</i>;62, 403;L
argD;E;Acetylornithine + uracil satisfaction of <i>car</i> (<i>pyrA</i>);153;L
argE;E;<i>N</i>-Acetylhistidine + ornithine satisfaction of <i>his</i>;50;C
argE;E;Acetylnorvaline resistance in <i>argR</i>(Con);402;L
argH;E;<i>N</i>-Acetylhistidine + ornithine satisfaction of <i>his</i>;50;C
argP;E;Canavanine resistance;483, 655;L
argP;E;Thiosine resistance;293, 716;L
argP;E;Canavanine + thiouracil resistance;605;L
argR;E, S;Arginine-resistant, proline-independent growth of ∆<i>pro</i>;62, 403;C
